TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
1271,tt0416449,movie,300,2007-03-07T00:00:00Z,,,7.192,8.0,2019-09-18T00:00:00Z
530915,tt8579674,movie,1917,2019-12-25T00:00:00Z,,,7.985,9.0,2020-01-11T00:00:00Z
19913,tt1022603,movie,(500) Days of Summer,2009-07-17T00:00:00Z,,,7.298,7.0,2015-11-19T00:00:00Z
333371,tt1179933,movie,10 Cloverfield Lane,2016-03-10T00:00:00Z,,,6.998,6.0,2022-08-30T00:00:00Z
389,tt0050083,movie,12 Angry Men,1957-04-10T00:00:00Z,,,8.556,9.0,2014-12-30T00:00:00Z
136400,tt1272878,movie,2 Guns,2013-08-02T00:00:00Z,,,6.541,4.0,2015-10-07T00:00:00Z
62,tt0062622,movie,2001: A Space Odyssey,1968-04-02T00:00:00Z,,,8.057,10.0,2015-12-06T00:00:00Z
170,tt0289043,movie,28 Days Later,2002-10-31T00:00:00Z,,,7.237,8.0,2016-10-10T00:00:00Z
1562,tt0463854,movie,28 Weeks Later,2007-04-26T00:00:00Z,,,6.604,6.0,2020-04-08T00:00:00Z
76360,tt2076781,movie,6 Days to Air: The Making of South Park,2011-10-09T00:00:00Z,,,7.56,8.0,2018-07-29T00:00:00Z
422,tt0056801,movie,8½,1963-02-14T00:00:00Z,,,8.113,2.0,2020-09-19T00:00:00Z
365997,tt2800050,movie,A Beautiful Planet,2016-04-16T00:00:00Z,,,7.14,8.0,2016-10-15T00:00:00Z
185,tt0066921,movie,A Clockwork Orange,1971-10-28T00:00:00Z,,,8.18,8.0,2020-04-01T00:00:00Z
661539,tt11563598,movie,A Complete Unknown,2024-12-25T00:00:00Z,,,7.081,5.0,2025-01-29T00:00:00Z
623,tt0095159,movie,A Fish Called Wanda,1988-07-15T00:00:00Z,,,7.208,6.0,2016-09-29T00:00:00Z
428449,tt6265828,movie,A Ghost Story,2017-04-24T00:00:00Z,,,7.079,7.0,2018-03-13T00:00:00Z
1290159,tt32376165,movie,A House of Dynamite,2025-10-02T00:00:00Z,,,6.403,7.0,2025-10-25T00:00:00Z
3509,tt0405296,movie,A Scanner Darkly,2006-07-07T00:00:00Z,,,6.797,6.0,2025-06-18T00:00:00Z
12573,tt1019452,movie,A Serious Man,2009-10-02T00:00:00Z,,,6.711,8.0,2016-04-15T00:00:00Z
332562,tt1517451,movie,A Star Is Born,2018-10-03T00:00:00Z,,,7.495,7.0,2018-10-27T00:00:00Z
25364,tt0043338,movie,Ace in the Hole,1951-06-29T00:00:00Z,,,7.859,8.0,2016-09-14T00:00:00Z
419704,tt2935510,movie,Ad Astra,2019-09-17T00:00:00Z,,,6.123,8.0,2019-09-24T00:00:00Z
2757,tt0268126,movie,Adaptation.,2002-12-06T00:00:00Z,,,7.342,9.0,2016-05-10T00:00:00Z
10843,tt0088680,movie,After Hours,1985-09-13T00:00:00Z,,,7.494,2.0,2021-10-09T00:00:00Z
2000,tt0068182,movie,"Aguirre, der Zorn Gottes",1972-12-29T00:00:00Z,,,7.447,3.0,2016-09-29T00:00:00Z
1000837,tt14961016,movie,Ainda Estou Aqui,2024-09-19T00:00:00Z,,,7.893,9.0,2025-02-08T00:00:00Z
813,tt0080339,movie,Airplane!,1980-06-27T00:00:00Z,,,7.31,8.0,2018-04-29T00:00:00Z
149,tt0094625,movie,AKIRA,1988-06-10T00:00:00Z,,,7.942,8.0,2018-06-20T00:00:00Z
348,tt0078748,movie,Alien,1979-05-25T00:00:00Z,,,8.166,7.0,2016-08-28T00:00:00Z
679,tt0090605,movie,Aliens,1986-07-18T00:00:00Z,,,7.956,6.0,2015-12-06T00:00:00Z
399579,tt0437086,movie,Alita: Battle Angel,2019-01-31T00:00:00Z,,,7.244,8.0,2023-06-27T00:00:00Z
705,tt0042192,movie,All About Eve,1950-11-09T00:00:00Z,,,8.082,8.0,2020-03-21T00:00:00Z
16858,tt0078754,movie,All That Jazz,1979-12-16T00:00:00Z,,,7.486,9.0,2015-11-21T00:00:00Z
279,tt0086879,movie,Amadeus,1984-09-19T00:00:00Z,,,8.022,9.0,2023-08-01T00:00:00Z
763285,tt4998632,movie,Ambulance,2022-03-16T00:00:00Z,,,6.619,2.0,2022-10-25T00:00:00Z
14,tt0169547,movie,American Beauty,1999-09-15T00:00:00Z,,,8.002,9.0,2016-11-30T00:00:00Z
1056360,tt23561236,movie,American Fiction,2023-11-10T00:00:00Z,,,7.268,9.0,2024-01-27T00:00:00Z
73,tt0120586,movie,American History X,1998-07-01T00:00:00Z,,,8.327,10.0,2016-02-06T00:00:00Z
1359,tt0144084,movie,American Psycho,2000-01-21T00:00:00Z,,,7.407,4.0,2019-09-07T00:00:00Z
109443,tt1229340,movie,Anchorman 2: The Legend Continues,2013-12-18T00:00:00Z,,,6.135,6.0,2018-07-26T00:00:00Z
8699,tt0357413,movie,Anchorman: The Legend of Ron Burgundy,2004-06-28T00:00:00Z,,,6.703,7.0,2018-04-18T00:00:00Z
270604,tt1693106,movie,Angry White Man,2011-10-22T00:00:00Z,,,2.0,1.0,2016-05-18T00:00:00Z
216,tt0071141,movie,Angst essen Seele auf,1974-03-05T00:00:00Z,,,7.73,8.0,2015-10-14T00:00:00Z
610120,tt10516984,movie,Anima,2019-06-26T00:00:00Z,,,7.296,6.0,2019-07-18T00:00:00Z
300668,tt2798920,movie,Annihilation,2018-02-22T00:00:00Z,,,6.439,8.0,2018-03-25T00:00:00Z
291270,tt2401878,movie,Anomalisa,2015-12-30T00:00:00Z,,,7.102,8.0,2023-08-07T00:00:00Z
1064213,tt28607951,movie,Anora,2024-10-14T00:00:00Z,,,7.058,6.0,2025-01-02T00:00:00Z
28,tt0078788,movie,Apocalypse Now,1979-05-19T00:00:00Z,,,8.268,10.0,2015-07-26T00:00:00Z
1579,tt0472043,movie,Apocalypto,2006-12-07T00:00:00Z,,,7.594,4.0,2016-02-26T00:00:00Z
568,tt0112384,movie,Apollo 13,1995-06-30T00:00:00Z,,,7.452,8.0,2020-04-15T00:00:00Z
11637,tt0368578,movie,Are We There Yet?,2005-01-20T00:00:00Z,,,5.688,4.0,2018-04-04T00:00:00Z
68734,tt1024648,movie,Argo,2012-10-11T00:00:00Z,,,7.281,8.0,2023-06-28T00:00:00Z
329865,tt2543164,movie,Arrival,2016-11-10T00:00:00Z,,,7.624,10.0,2024-01-06T00:00:00Z
747188,tt14230388,movie,Asteroid City,2023-06-08T00:00:00Z,,,6.443,8.0,2023-06-23T00:00:00Z
10865,tt0230011,movie,Atlantis: The Lost Empire,2001-06-02T00:00:00Z,,,7.036,9.0,2022-06-12T00:00:00Z
816,tt0118655,movie,Austin Powers: International Man of Mystery,1997-05-02T00:00:00Z,,,6.59,6.0,2024-04-14T00:00:00Z
817,tt0145660,movie,Austin Powers: The Spy Who Shagged Me,1999-06-08T00:00:00Z,,,6.299,4.0,2024-06-13T00:00:00Z
19995,tt0499549,movie,Avatar,2009-12-16T00:00:00Z,,,7.6,6.0,2016-10-12T00:00:00Z
76600,tt1630029,movie,Avatar: The Way of Water,2022-12-14T00:00:00Z,,,7.598,9.0,2022-12-19T00:00:00Z
99861,tt2395427,movie,Avengers: Age of Ultron,2015-04-22T00:00:00Z,,,7.271,8.0,2019-04-24T00:00:00Z
299534,tt4154796,movie,Avengers: Endgame,2019-04-24T00:00:00Z,,,8.236,9.0,2023-07-25T00:00:00Z
299536,tt4154756,movie,Avengers: Infinity War,2018-04-25T00:00:00Z,,,8.234,9.0,2018-05-02T00:00:00Z
339403,tt3890160,movie,Baby Driver,2017-06-28T00:00:00Z,,,7.442,9.0,2017-06-28T00:00:00Z
615777,tt10640346,movie,Babylon,2022-12-22T00:00:00Z,,,7.368,6.0,2023-01-15T00:00:00Z
15596,tt0090685,movie,Back to School,1986-06-13T00:00:00Z,,,6.335,4.0,2018-01-30T00:00:00Z
105,tt0088763,movie,Back to the Future,1985-07-03T00:00:00Z,,,8.323,7.0,2016-09-29T00:00:00Z
514754,tt8075496,movie,Bao,2018-06-15T00:00:00Z,,,7.56,7.0,2018-06-19T00:00:00Z
14002,tt0103767,movie,Baraka,1992-09-15T00:00:00Z,,,8.225,9.0,2025-01-02T00:00:00Z
346698,tt1517268,movie,Barbie,2023-07-19T00:00:00Z,,,6.928,8.0,2023-07-21T00:00:00Z
290,tt0101410,movie,Barton Fink,1991-08-01T00:00:00Z,,,7.457,7.0,2016-02-06T00:00:00Z
272,tt0372784,movie,Batman Begins,2005-06-10T00:00:00Z,,,7.72,8.0,2016-09-29T00:00:00Z
84175,tt2125435,movie,Beasts of the Southern Wild,2012-06-29T00:00:00Z,,,6.83,6.0,2025-09-11T00:00:00Z
4011,tt0094721,movie,Beetlejuice,1988-03-30T00:00:00Z,,,7.367,9.0,2024-09-06T00:00:00Z
917496,tt2049403,movie,Beetlejuice Beetlejuice,2024-09-04T00:00:00Z,,,6.944,8.0,2024-09-06T00:00:00Z
410718,tt5929776,movie,Before the Flood,2016-10-21T00:00:00Z,,,7.691,8.0,2016-11-04T00:00:00Z
492,tt0120601,movie,Being John Malkovich,1999-10-29T00:00:00Z,,,7.412,9.0,2016-02-28T00:00:00Z
665,tt0052618,movie,Ben-Hur,1959-11-18T00:00:00Z,,,7.883,8.0,2016-09-29T00:00:00Z
13785,tt0218839,movie,Best in Show,2000-09-29T00:00:00Z,,,6.863,7.0,2019-09-15T00:00:00Z
584962,tt9398640,movie,Between Two Ferns: The Movie,2019-09-20T00:00:00Z,,,5.931,7.0,2019-09-25T00:00:00Z
2280,tt0094737,movie,Big,1988-06-03T00:00:00Z,,,7.182,6.0,2025-09-07T00:00:00Z
177572,tt2245084,movie,Big Hero 6,2014-10-24T00:00:00Z,,,7.725,4.0,2014-11-12T00:00:00Z
194662,tt2562232,movie,Birdman or (The Unexpected Virtue of Ignorance),2014-10-17T00:00:00Z,,,7.444,3.0,2016-09-29T00:00:00Z
855,tt0265086,movie,Black Hawk Down,2001-12-28T00:00:00Z,,,7.39,7.0,2015-10-07T00:00:00Z
261023,tt1355683,movie,Black Mass,2015-09-17T00:00:00Z,,,6.526,7.0,2018-02-15T00:00:00Z
569547,tt9495224,movie,Black Mirror: Bandersnatch,2018-12-28T00:00:00Z,,,6.763,8.0,2019-03-11T00:00:00Z
284054,tt1825683,movie,Black Panther,2018-02-13T00:00:00Z,,,7.362,7.0,2018-02-16T00:00:00Z
44214,tt0947798,movie,Black Swan,2010-12-03T00:00:00Z,,,7.686,5.0,2018-08-01T00:00:00Z
487558,tt7349662,movie,BlacKkKlansman,2018-08-09T00:00:00Z,,,7.491,7.0,2018-08-22T00:00:00Z
78,tt0083658,movie,Blade Runner,1982-06-25T00:00:00Z,,,7.94,5.0,2015-10-07T00:00:00Z
335984,tt1856101,movie,Blade Runner 2049,2017-10-04T00:00:00Z,,,7.589,9.0,2017-10-09T00:00:00Z
9955,tt0445934,movie,Blades of Glory,2007-03-30T00:00:00Z,,,6.116,4.0,2016-09-29T00:00:00Z
11368,tt0086979,movie,Blood Simple,1985-01-18T00:00:00Z,,,7.252,6.0,2016-02-25T00:00:00Z
15087,tt0099158,movie,Blue Planet,1990-01-01T00:00:00Z,,,5.983,6.0,2016-10-15T00:00:00Z
793,tt0090756,movie,Blue Velvet,1986-09-19T00:00:00Z,,,7.608,3.0,2016-03-27T00:00:00Z
823754,tt14544192,movie,Bo Burnham: Inside,2021-07-22T00:00:00Z,,,8.005,9.0,2021-06-02T00:00:00Z
400608,tt5192124,movie,Bo Burnham: Make Happy,2016-06-03T00:00:00Z,,,8.017,9.0,2017-01-16T00:00:00Z
244001,tt3210258,movie,Bo Burnham: What.,2013-12-17T00:00:00Z,,,7.856,9.0,2018-07-26T00:00:00Z
47911,tt1747960,movie,"Bo Burnham: Words, Words, Words",2010-10-16T00:00:00Z,,,7.322,8.0,2018-07-26T00:00:00Z
336882,tt3616916,movie,Bølgen,2015-08-28T00:00:00Z,,,6.695,7.0,2020-12-23T00:00:00Z
4995,tt0118749,movie,Boogie Nights,1997-10-10T00:00:00Z,,,7.628,8.0,2018-05-16T00:00:00Z
740985,tt13143964,movie,Borat Subsequent Moviefilm,2020-10-23T00:00:00Z,,,6.43,7.0,2020-11-09T00:00:00Z
496,tt0443453,movie,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01T00:00:00Z,,,6.783,7.0,2018-03-26T00:00:00Z
1430,tt0310793,movie,Bowling for Columbine,2002-10-09T00:00:00Z,,,7.512,3.0,2016-11-08T00:00:00Z
85350,tt1065073,movie,Boyhood,2014-06-05T00:00:00Z,,,7.492,6.0,2014-12-29T00:00:00Z
197,tt0112573,movie,Braveheart,1995-05-24T00:00:00Z,,,7.941,9.0,2016-03-01T00:00:00Z
68,tt0088846,movie,Brazil,1985-02-20T00:00:00Z,,,7.666,8.0,2020-02-02T00:00:00Z
145,tt0115751,movie,Breaking the Waves,1996-07-05T00:00:00Z,,,7.504,5.0,2017-09-07T00:00:00Z
18533,tt1172570,movie,Bronson,2009-03-13T00:00:00Z,,,6.963,7.0,2019-08-12T00:00:00Z
701387,tt12300742,movie,Bugonia,2025-10-23T00:00:00Z,,,7.35,6.0,2025-11-05T00:00:00Z
916,tt0062765,movie,Bullitt,1968-10-17T00:00:00Z,,,7.141,5.0,2022-01-31T00:00:00Z
4944,tt0887883,movie,Burn After Reading,2008-09-05T00:00:00Z,,,6.672,9.0,2016-04-01T00:00:00Z
747059,tt13167288,movie,Burrow,2020-12-25T00:00:00Z,,,7.406,7.0,2021-01-05T00:00:00Z
335,tt0064116,movie,C'era una volta il West,1968-12-21T00:00:00Z,,,8.28,8.0,2019-06-14T00:00:00Z
10086,tt0103905,movie,C'est arrivé près de chez vous,1992-08-20T00:00:00Z,,,7.22,6.0,2016-11-10T00:00:00Z
398818,tt5726616,movie,Call Me by Your Name,2017-10-01T00:00:00Z,,,8.096,3.0,2025-04-30T00:00:00Z
376534,tt5375040,movie,Cameraperson,2016-09-09T00:00:00Z,,,6.7,6.0,2024-06-06T00:00:00Z
271110,tt3498820,movie,Captain America: Civil War,2016-04-27T00:00:00Z,,,7.446,5.0,2016-08-28T00:00:00Z
1771,tt0458339,movie,Captain America: The First Avenger,2011-07-22T00:00:00Z,,,7.004,6.0,2019-04-07T00:00:00Z
100402,tt1843866,movie,Captain America: The Winter Soldier,2014-03-20T00:00:00Z,,,7.654,8.0,2018-07-26T00:00:00Z
299537,tt4154664,movie,Captain Marvel,2019-03-06T00:00:00Z,,,6.785,9.0,2019-04-07T00:00:00Z
920,tt0317219,movie,Cars,2006-06-08T00:00:00Z,,,7.021,9.0,2016-09-29T00:00:00Z
289,tt0034583,movie,Casablanca,1943-01-15T00:00:00Z,,,8.143,9.0,2019-08-08T00:00:00Z
524,tt0112641,movie,Casino,1995-11-22T00:00:00Z,,,7.99,8.0,2020-12-14T00:00:00Z
36557,tt0381061,movie,Casino Royale,2006-11-14T00:00:00Z,,,7.569,6.0,2015-10-28T00:00:00Z
8358,tt0162222,movie,Cast Away,2000-12-22T00:00:00Z,,,7.66,8.0,2015-01-04T00:00:00Z
236028,tt3331512,movie,Castello Cavalcanti,2013-11-12T00:00:00Z,,,7.013,9.0,2019-07-30T00:00:00Z
640,tt0264464,movie,Catch Me If You Can,2002-12-16T00:00:00Z,,,7.977,9.0,2019-05-17T00:00:00Z
10364,tt0065528,movie,Catch-22,1970-06-24T00:00:00Z,,,6.657,10.0,2016-04-06T00:00:00Z
198184,tt1823672,movie,Chappie,2015-03-04T00:00:00Z,,,6.786,9.0,2015-04-14T00:00:00Z
118,tt0367594,movie,Charlie and the Chocolate Factory,2005-07-13T00:00:00Z,,,7.039,7.0,2016-09-29T00:00:00Z
212778,tt2883512,movie,Chef,2014-05-08T00:00:00Z,,,7.114,8.0,2018-03-13T00:00:00Z
9693,tt0206634,movie,Children of Men,2006-09-22T00:00:00Z,,,7.611,10.0,2025-11-29T00:00:00Z
829,tt0071315,movie,Chinatown,1974-06-20T00:00:00Z,,,7.912,8.0,2019-06-13T00:00:00Z
734002,tt10651230,movie,Chłopi,2023-10-13T00:00:00Z,,,7.507,7.0,2025-01-07T00:00:00Z
13673,tt0388419,movie,Christmas with the Kranks,2004-11-24T00:00:00Z,,,6.151,3.0,2020-12-25T00:00:00Z
598,tt0317248,movie,Cidade de Deus,2002-08-30T00:00:00Z,,,8.427,7.0,2015-12-04T00:00:00Z
15,tt0033467,movie,Citizen Kane,1941-04-17T00:00:00Z,,,7.981,6.0,2015-02-06T00:00:00Z
901,tt0021749,movie,City Lights,1931-02-06T00:00:00Z,,,8.258,9.0,2017-01-16T00:00:00Z
929590,tt17279496,movie,Civil War,2024-04-10T00:00:00Z,,,6.845,8.0,2024-04-15T00:00:00Z
840,tt0075860,movie,Close Encounters of the Third Kind,1977-12-14T00:00:00Z,,,7.352,7.0,2016-02-26T00:00:00Z
83542,tt1371111,movie,Cloud Atlas,2012-10-26T00:00:00Z,,,6.893,9.0,2016-10-10T00:00:00Z
7191,tt1060277,movie,Cloverfield,2008-01-15T00:00:00Z,,,6.704,5.0,2016-09-24T00:00:00Z
354912,tt2380307,movie,Coco,2017-10-27T00:00:00Z,,,8.199,9.0,2018-12-15T00:00:00Z
1612022,tt6282412,movie,Come Together,,,,6.4,8.0,2019-10-27T00:00:00Z
974576,tt20215234,movie,Conclave,2024-10-25T00:00:00Z,,,7.191,9.0,2025-04-25T00:00:00Z
903,tt0061512,movie,Cool Hand Luke,1967-11-01T00:00:00Z,,,7.739,9.0,2018-02-08T00:00:00Z
14836,tt0327597,movie,Coraline,2009-02-05T00:00:00Z,,,7.9,7.0,2024-09-13T00:00:00Z
358332,tt4957236,movie,Cosmos Laundromat,2015-08-10T00:00:00Z,,,6.333,7.0,2019-08-07T00:00:00Z
49849,tt0409847,movie,Cowboys & Aliens,2011-07-29T00:00:00Z,,,5.642,3.0,2015-11-04T00:00:00Z
312221,tt3076658,movie,Creed,2015-11-25T00:00:00Z,,,7.403,6.0,2017-01-16T00:00:00Z
480530,tt6343314,movie,Creed II,2018-11-21T00:00:00Z,,,7.029,6.0,2018-11-25T00:00:00Z
552178,tt9071322,movie,Dark Waters,2019-11-22T00:00:00Z,,,7.535,9.0,2025-10-22T00:00:00Z
399404,tt4555426,movie,Darkest Hour,2017-11-22T00:00:00Z,,,7.355,8.0,2018-01-24T00:00:00Z
387,tt0082096,movie,Das Boot,1981-09-17T00:00:00Z,,,8.085,7.0,2016-09-29T00:00:00Z
582,tt0405094,movie,Das Leben der Anderen,2006-03-23T00:00:00Z,,,8.038,8.0,2025-09-17T00:00:00Z
207,tt0097165,movie,Dead Poets Society,1989-06-02T00:00:00Z,,,8.301,7.0,2016-09-29T00:00:00Z
293660,tt1431045,movie,Deadpool,2016-02-09T00:00:00Z,,,7.622,5.0,2016-03-19T00:00:00Z
383498,tt5463162,movie,Deadpool 2,2018-05-15T00:00:00Z,,,7.488,7.0,2018-05-19T00:00:00Z
114750,tt2235108,movie,Dear White People,2014-10-17T00:00:00Z,,,6.096,2.0,2016-05-18T00:00:00Z
303991,tt1172049,movie,Demolition,2016-04-06T00:00:00Z,,,6.838,8.0,2018-04-17T00:00:00Z
12139,tt0106701,movie,Dennis the Menace,1993-06-09T00:00:00Z,,,5.881,3.0,2018-02-20T00:00:00Z
475094,tt6763252,movie,Der Hauptmann,2018-02-02T00:00:00Z,,,7.193,8.0,2019-10-20T00:00:00Z
144,tt0093191,movie,Der Himmel über Berlin,1987-09-23T00:00:00Z,,,7.769,9.0,2015-11-11T00:00:00Z
490,tt0050976,movie,Det sjunde inseglet,1957-02-16T00:00:00Z,,,8.164,7.0,2015-10-02T00:00:00Z
8592,tt0099422,movie,Dick Tracy,1990-04-05T00:00:00Z,,,6.147,5.0,2015-11-09T00:00:00Z
562,tt0095016,movie,Die Hard,1988-07-15T00:00:00Z,,,7.806,7.0,2018-03-24T00:00:00Z
17654,tt1136608,movie,District 9,2009-08-05T00:00:00Z,,,7.461,9.0,2016-09-29T00:00:00Z
68718,tt1853728,movie,Django Unchained,2012-12-25T00:00:00Z,,,8.187,9.0,2015-10-28T00:00:00Z
284052,tt1211837,movie,Doctor Strange,2016-10-25T00:00:00Z,,,7.417,8.0,2022-05-21T00:00:00Z
646380,tt11286314,movie,Don't Look Up,2021-12-08T00:00:00Z,,,7.062,3.0,2022-03-06T00:00:00Z
141,tt0246578,movie,Donnie Darko,2001-01-19T00:00:00Z,,,7.763,9.0,2015-12-13T00:00:00Z
996,tt0036775,movie,Double Indemnity,1944-07-06T00:00:00Z,,,8.095,8.0,2020-04-03T00:00:00Z
646,tt0055928,movie,Dr. No,1962-10-07T00:00:00Z,,,6.99,8.0,2019-03-12T00:00:00Z
935,tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29T00:00:00Z,,,8.126,8.0,2016-09-29T00:00:00Z
64690,tt0780504,movie,Drive,2011-09-15T00:00:00Z,,,7.583,10.0,2016-01-24T00:00:00Z
934,tt0048021,movie,Du rififi chez les hommes,1955-04-13T00:00:00Z,,,7.774,5.0,2016-08-28T00:00:00Z
839,tt0067023,movie,Duel,1971-11-13T00:00:00Z,,,7.418,7.0,2019-05-17T00:00:00Z
438631,tt1160419,movie,Dune,2021-09-15T00:00:00Z,,,7.777,10.0,2021-10-24T00:00:00Z
693134,tt15239678,movie,Dune: Part Two,2024-02-27T00:00:00Z,,,8.13,10.0,2024-03-03T00:00:00Z
374720,tt5013056,movie,Dunkirk,2017-07-19T00:00:00Z,,,7.449,9.0,2017-07-22T00:00:00Z
601,tt0083866,movie,E.T. the Extra-Terrestrial,1982-06-11T00:00:00Z,,,7.511,8.0,2019-09-26T00:00:00Z
137113,tt1631867,movie,Edge of Tomorrow,2014-05-27T00:00:00Z,,,7.634,8.0,2015-11-25T00:00:00Z
162,tt0099487,movie,Edward Scissorhands,1990-12-07T00:00:00Z,,,7.718,8.0,2016-12-04T00:00:00Z
489925,tt7014006,movie,Eighth Grade,2018-01-19T00:00:00Z,,,7.156,8.0,2018-08-06T00:00:00Z
1417,tt0457430,movie,El laberinto del fauno,2006-10-11T00:00:00Z,,,7.757,9.0,2019-05-10T00:00:00Z
614934,tt3704428,movie,Elvis,2022-06-22T00:00:00Z,,,7.468,8.0,2023-04-30T00:00:00Z
68724,tt1535108,movie,Elysium,2013-08-07T00:00:00Z,,,6.513,8.0,2016-05-14T00:00:00Z
568124,tt2953050,movie,Encanto,2021-10-13T00:00:00Z,,,7.572,8.0,2022-02-04T00:00:00Z
77016,tt1855199,movie,End of Watch,2012-09-20T00:00:00Z,,,7.349,6.0,2023-07-17T00:00:00Z
181886,tt2316411,movie,Enemy,2014-03-14T00:00:00Z,,,6.849,8.0,2018-12-16T00:00:00Z
38,tt0338013,movie,Eternal Sunshine of the Spotless Mind,2004-03-19T00:00:00Z,,,8.091,5.0,2016-05-26T00:00:00Z
174772,tt2051879,movie,Europa Report,2013-06-27T00:00:00Z,,,6.282,4.0,2025-07-19T00:00:00Z
545611,tt6710474,movie,Everything Everywhere All at Once,2022-03-24T00:00:00Z,,,7.72,10.0,2022-05-29T00:00:00Z
264660,tt0470752,movie,Ex Machina,2015-01-21T00:00:00Z,,,7.573,8.0,2018-07-26T00:00:00Z
333352,tt2057392,movie,Eye in the Sky,2015-09-07T00:00:00Z,,,7.005,6.0,2016-11-18T00:00:00Z
345,tt0120663,movie,Eyes Wide Shut,1999-07-16T00:00:00Z,,,7.485,7.0,2017-04-18T00:00:00Z
911430,tt16311594,movie,F1,2025-06-25T00:00:00Z,,,7.768,7.0,2025-06-24T00:00:00Z
